name,id,home,team,pos,defense_ast,defense_ffum,defense_int,defense_sk,defense_tkl,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgm,kicking_fgyds,kicking_totpfg,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kickret_avg,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,punting_avg,punting_i20,punting_lng,punting_pts,punting_yds,puntret_avg,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
C.Kaepernick,00-0027974,yes,SF,QB,,,,,,0,0,1,0,0,,,,,,,,,,,,,,,23,18,0,0,0,0,185,,,,,,,,,,,,,,,,,,6,50,50,1,0,0,53
L.James,00-0029260,yes,SF,RB,,,,,,,,,,,,,,,,,,,,26,34,0,3,0,,,,,,,,,,,,,,,,,,15,0,1,0,0,0,15,8,13,0,0,0,0,30
F.Gore,00-0023500,yes,SF,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,0,2,0,0,0,22,12,19,1,1,0,0,63
A.Dixon,00-0027772,yes,SF,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,1,1,0,0,9
D.Walker,00-0024389,yes,SF,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,0,1,0,0,0,20,,,,,,,
V.Davis,00-0024221,yes,SF,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,1,0,0,0,4,,,,,,,
B.Miller,00-0028149,yes,SF,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,0,0,1,,,,,,,
R.Moss,00-0011754,yes,SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0,2,0,0,0,30,,,,,,,
M.Crabtree,00-0026986,yes,SF,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0,9,0,0,0,93,,,,,,,
C.Spillman,00-0026758,yes,SF,DB,,,,,,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Davis,00-0027863,yes,SF,T,,,,,,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Akers,00-0000108,yes,SF,K,,,,,,,,,,,2,2,37,6,3,0,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Lee,00-0022824,yes,SF,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,1,55,4,193,,,,,,,,,,,,,,,,,,,
T.Ginn,00-0025396,yes,SF,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,0,1,0,,,,,,,,,,,,,,
D.Whitner,00-0024223,yes,SF,SS,2,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.Sopoaga,00-0022863,yes,SF,NT,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
